Name,Type,Latitude,Longitude
Kingston College International,school,79.8624,6.8799
Anula Vidyalaya,school,79.8846,6.8719
St. Lawrence Convent,school,79.8622,6.8756
St. Clares Girl School,school,79.8619,6.8766
Lumbini Balika Vidyalaya,school,79.8642,6.8765
Wellawatta Vidyalaya,school,79.8683,6.8804
St. Lawrance Girls School,school,79.8615,6.8747
Amal Int. School,school,79.8695,6.8841
St. Peter's College,school,79.8597,6.8804
St. Pauls Milagiriya,school,79.8581,6.8859
St.Mary's Vidyalaya,school,79.8574,6.8950
Ramanadan Hindu Ladies College,school,79.8607,6.8840
Holy Family Convent,school,79.8571,6.8881
Muslim Ladies College,school,79.8613,6.8818
Royal Institute,school,79.8680,6.8844
Vidyawardana Maha Vidyalaya,school,79.8791,6.8941
Hindu college,school,79.8617,6.8837
Sirimavo Bandara Nayake Vidyalaya,school,79.8637,6.8961
Asian Int. School,school,79.8729,6.8845
Dudley Senanayake College,school,79.8734,6.8907
Isipathana College,school,79.8676,6.8873
Visakha Vidyalaya,school,79.8597,6.8913
International French School of Colombo,school,79.8656,6.8945
Ilma International girls school,school,79.8738,6.8865
Gateway International School,school,79.8609,6.8918
Belvoir Int. College,school,79.8601,6.8867
Lumbini Vidyalaya,school,79.8666,6.8840
St Bridgets Convent,school,79.8659,6.9095
D S Senanayake,school,79.8763,6.9082
Sratford Int. School,school,79.8641,6.9079
Wycherly Int.School,school,79.8672,6.9006
Ladies College,school,79.8579,6.9079
St Bridget Convent,school,79.8646,6.9095
St Bridgets Convent,school,79.8643,6.9104
Museaus College,school,79.8687,6.9147
St Nicholas International School,school,79.8709,6.9158
Colombo International School CIS,school,79.8708,6.9093
Gareway Int. School,school,79.8847,6.9132
C.W.W Kannangara Vidyalaya,school,79.8773,6.9190
Rathnavalee Balika Vidyalaya,school,79.8745,6.9184
All Saints College,school,79.8753,6.9205
Bandaranayake School,school,79.8869,6.9118
British School,school,79.8775,6.9061
Devi Balika Vidyalaya,school,79.8825,6.9109
Seewali Vidyalaya,school,79.8806,6.9235
Sangamitta balika Vidyalaya,school,79.8731,6.9212
Aquinas College,school,79.8744,6.9177
Carey College,school,79.8712,6.9183
Yasodara Balika vidyalaya,school,79.8726,6.9169
Bishop's College,school,79.8555,6.9147
Lindsay Girls College,school,79.8543,6.8959
British Council,school,79.8570,6.8999
St.Thomas Preparatory School,school,79.8477,6.9168
sasakawa Institute,school,79.8471,6.9156
St. Margerets convent,school,79.8531,6.9145
St. Anthony's Balika Vidyalaya,school,79.8553,6.9080
St Marry's Girl School,school,79.8533,6.9137
St. Micheals College,school,79.8528,6.9136
Mahanama College,school,79.8538,6.9055
Methodist College Kollupitiya,school,79.8494,6.9116
Sri Sariputtaaha Vidyalaya,school,79.8527,6.9214
Army School,school,79.8506,6.9269
Tamil School,school,79.8809,6.9290
Weluwana Vidyalaya,school,79.8798,6.9269
St.John's College,school,79.8738,6.9307
Anuruddha Balika Vidyalaya,school,79.8784,6.9296
St.Mathew,school,79.8776,6.9302
Ananda College,school,79.8687,6.9246
Zahira College,school,79.8648,6.9277
Nalanda College,school,79.8737,6.9234
Gothami Balika Vidyalaya,school,79.8720,6.9239
St. Joseph's College,school,79.8605,6.9256
Darus Salam Vidyalaya,school,79.8718,6.9376
Alhijra School,school,79.8749,6.9290
Ananda Balika Viidyalaya Maradana,school,79.8697,6.9269
Clifton Balika vidyalaya,school,79.8684,6.9272
Vidyadaya Pirivena,school,79.8694,6.9274
Maligawatta Mahavidyalaya,school,79.8781,6.9417
Asoka Vidyalaya Maradana,school,79.8670,6.9227
Stafford College,school,79.8674,6.9232
Maligakanda Maha Vidyalaya,school,79.8729,6.9266
St. Josephs College,school,79.8748,6.9482
Carmel Convent,school,79.8779,6.9749
Hindu College,school,79.8651,6.9638
St. Joseph's Pre School,school,79.8630,6.9634
Hameed Al Hussaini College,school,79.8598,6.9409
Wolfendhal Girls School,school,79.8597,6.9420
Vivekananda College,school,79.8595,6.9431
Kotahena Central College,school,79.8622,6.9434
St. Antonies College,school,79.8576,6.9444
St. Anne's Convent,school,79.8581,6.9443
St.Marry's College,school,79.8584,6.9438
